 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
62.166666666666664,89,62.166666666666664,373,373,0.003676891326904297,62.166666666666664,0.0,0.0039479732513427734,0.0,0.0,62.166666666666664,65535,0,12.733376963276038,0.003676891326904297,12.733376963276038,162.13888888888889,0,1519.7671356966,ddos
54.333333333333336,55,54.333333333333336,163,163,0.00919198989868164,54.333333333333336,0.0,0.00919198989868164,0.0,0.0,54.333333333333336,64,0,0.4714045207910317,0.00919198989868164,0.4714045207910317,0.2222222222222222,0,326.3711158375266,ddos
61.142857142857146,89,61.142857142857146,428,428,0.008185148239135742,61.142857142857146,0.0,0.010950088500976562,0.0,0.0,61.142857142857146,65535,0,12.0526057814254,0.008185148239135742,12.0526057814254,145.26530612244898,0,639.2642396794984,ddos
62.166666666666664,89,62.166666666666664,373,373,0.003957033157348633,62.166666666666664,0.0,0.0041790008544921875,0.0,0.0,62.166666666666664,65535,0,12.733376963276038,0.003957033157348633,12.733376963276038,162.13888888888889,0,1435.7498858968509,ddos
55,55,55,55,55,0.0,55,0.0,1e-09,0.0,0.0,55,64,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
55,55,55,55,55,0.0,55,0.0,1e-09,0.0,0.0,55,64,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,255,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,255,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,255,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
63,90,63,252,252,0.00477910041809082,63,0.0,0.005294084548950195,0.0,0.0,63,64,0,15.588457268119896,0.00477910041809082,15.588457268119896,243,0,755.5602792163927,ddos
72,90,72,144,144,0.0016069412231445312,72,0.0,0.0016069412231445312,0.0,0.0,72,255,0,18.0,0.0016069412231445312,18.0,324,0,1244.60059347181,ddos
61.2,90,61.2,306,306,0.0030918121337890625,61.2,0.0,0.0032889842987060547,0.0,0.0,61.2,255,0,14.4,0.0030918121337890625,14.4,207.36,0,1520.226168901776,ddos
54,54,54,162,162,0.004851102828979492,54,0.0,0.004968881607055664,0.0,0.0,54,255,0,0.0,0.004851102828979492,0.0,0,0,603.7575932057003,ddos
54,54,54,162,162,0.0028989315032958984,54,0.0,0.0030670166015625,0.0,0.0,54,255,0,0.0,0.0028989315032958984,0.0,0,0,978.1492537313433,ddos
66.2,89,66.2,331,331,0.0031881332397460938,66.2,0.0,0.0034139156341552734,0.0,0.0,66.2,65535,0,12.432216214336043,0.0031881332397460938,12.432216214336043,154.56,0,1464.593896221803,ddos
