 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
172,172,172,344,344,2.1214969158172607,172,0.0,2.1214969158172607,0.0,0.0,172,2048,0,0.0,2.1214969158172607,0.0,0,0,0.9427305715547285,normal
200.25,583,200.25,801,801,0.005887031555175781,200.25,0.0,0.0073490142822265625,0.0,0.0,200.25,65535,0,221.023047440759,0.005887031555175781,221.023047440759,48851.1875,0,544.2906825849986,normal
179.6,530,179.6,2694,2694,0.12903904914855957,179.6,0.0,0.4332599639892578,0.0,0.0,179.6,2584,0,166.305261492233,0.12903904914855957,166.305261492233,27657.44,0,34.621246472641786,normal
686.8333333333334,1436,686.8333333333334,16484,16484,0.0213320255279541,686.8333333333334,0.0,0.05257582664489746,0.0,0.0,686.8333333333334,501,0,601.2597654554606,0.0213320255279541,601.2597654554606,361513.30555555556,0,456.4835501702801,normal
172,172,172,172,172,0.0,172,0.0,1e-09,0.0,0.0,172,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
208.43478260869566,1209,208.43478260869566,4794,4794,0.7383391857147217,208.43478260869566,0.0,1.0054140090942383,0.0,0.0,208.43478260869566,2584,0,256.0425959954382,0.7383391857147217,256.0425959954382,65557.81096408318,0,22.876148324927698,normal
1148.8125,1440,1148.8125,18381,18381,0.0010018348693847656,1148.8125,0.0,0.001653909683227539,0.0,0.0,1148.8125,142,0,535.9194457600414,0.0010018348693847656,535.9194457600414,287209.65234375,0,9674.046994377974,normal
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,0,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
178.575,1327,178.575,7143,7143,0.2434370517730713,178.575,0.0,0.9399120807647705,0.0,0.0,178.575,2048,0,225.10807265622438,0.2434370517730713,225.10807265622438,50673.644375,0,42.55717190851886,normal
172,172,172,172,172,0.0,172,0.0,1e-09,0.0,0.0,172,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
221.14285714285714,727,221.14285714285714,3096,3096,0.21225500106811523,221.14285714285714,0.0,0.3852849006652832,0.0,0.0,221.14285714285714,2048,0,201.72111481762465,0.21225500106811523,201.72111481762465,40691.4081632653,0,36.336747107986255,normal
443.04,1440,443.04,11076,11076,0.014302968978881836,443.04,0.0,0.04395699501037598,0.0,0.0,443.04,65535,0,527.4829650329951,0.014302968978881836,527.4829650329951,278238.2784,0,568.7376945148045,normal
468.7142857142857,1440,468.7142857142857,3281,3281,0.025056123733520508,468.7142857142857,0.0,0.04020810127258301,0.0,0.0,468.7142857142857,2048,0,492.72383290257443,0.025056123733520508,492.72383290257443,242776.77551020408,0,174.09426902665362,normal
94.66666666666667,117,94.66666666666667,284,284,6.29425048828125e-05,94.66666666666667,0.0,0.00010991096496582031,0.0,0.0,94.66666666666667,2048,0,21.296843793284385,6.29425048828125e-05,21.296843793284385,453.55555555555554,0,27294.81995661605,normal
165.0344827586207,530,165.0344827586207,4786,4786,0.750342845916748,165.0344827586207,0.0,1.0460739135742188,0.0,0.0,165.0344827586207,2583,0,144.03148189356588,0.750342845916748,144.03148189356588,20745.0677764566,0,27.72270642034556,normal
1440,1440,1440,1440,1440,0.0,1440,0.0,1e-09,0.0,0.0,1440,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
610,1440,610,17690,17690,0.31877994537353516,610,0.0,0.43994903564453125,0.0,0.0,610,2048,0,623.4039483020786,0.31877994537353516,623.4039483020786,388632.4827586207,0,65.91672591693401,normal
270.14285714285717,896,270.14285714285717,1891,1891,0.06585311889648438,270.14285714285717,0.0,0.12028312683105469,0.0,0.0,270.14285714285717,2048,0,298.23309607056814,0.06585311889648438,298.23309607056814,88942.97959183673,0,58.196026196026196,normal
89,102,89,267,267,0.02268695831298828,89,0.0,0.022761106491088867,0.0,0.0,89,2048,0,16.30950643030009,0.02268695831298828,16.30950643030009,266,0,131.80378560130725,normal
258,258,258,258,258,0.0,258,0.0,1e-09,0.0,0.0,258,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
967.6842105263158,1440,967.6842105263158,18386,18386,0.4562239646911621,967.6842105263158,0.0,1.1610991954803467,0.0,0.0,967.6842105263158,2048,0,595.4419899829899,0.4562239646911621,595.4419899829899,354551.163434903,0,16.363804293344376,normal
102,102,102,510,510,0.320389986038208,102,0.0,0.952193021774292,0.0,0.0,102,2048,0,0.0,0.320389986038208,0.0,0,0,5.251036171934056,normal
102,102,102,510,510,0.3205869197845459,102,0.0,0.9612939357757568,0.0,0.0,102,2048,0,0.0,0.3205869197845459,0.0,0,0,5.201322731704365,normal
186.6,263,186.6,933,933,0.42624783515930176,186.6,0.0,0.9574589729309082,0.0,0.0,186.6,2048,0,93.64742388341497,0.42624783515930176,93.64742388341497,8769.84,0,5.222155874412395,normal
159.5,583,159.5,957,957,0.4062690734863281,159.5,0.0,0.9035859107971191,0.0,0.0,159.5,65535,0,189.44282338830715,0.4062690734863281,189.44282338830715,35888.583333333336,0,6.640209777847202,normal
360,1440,360,2520,2520,0.018449068069458008,360,0.0,0.03550601005554199,0.0,0.0,360,2048,0,473.04998225799113,0.018449068069458008,473.04998225799113,223776.2857142857,0,197.14972166824467,normal
212.14285714285714,583,212.14285714285714,1485,1485,0.027273893356323242,212.14285714285714,0.0,0.04232501983642578,0.0,0.0,212.14285714285714,65535,0,199.12768952281317,0.027273893356323242,199.12768952281317,39651.836734693876,0,165.38680967080506,normal
77.5,99,77.5,465,465,0.0005960464477539062,77.5,0.0,0.0012359619140625,0.0,0.0,77.5,142,0,11.01135777277262,0.0005960464477539062,11.01135777277262,121.25,0,4854.518518518518,normal
79.5,99,79.5,477,477,0.0013041496276855469,79.5,0.0,0.002431154251098633,0.0,0.0,79.5,201,0,9.759610647971568,0.0013041496276855469,9.759610647971568,95.25,0,2467.963518681965,normal
86.875,161,86.875,695,695,0.010616064071655273,86.875,0.0,0.010689020156860352,0.0,0.0,86.875,20,0,28.290623446647476,0.010616064071655273,28.290623446647476,800.359375,0,748.4315571119488,normal
834,1440,834,5004,5004,0.028750181198120117,834,0.0,0.030483007431030273,0.0,0.0,834,16384,0,617.0162072425651,0.028750181198120117,617.0162072425651,380709,0,196.83097258613273,normal
380.4736842105263,1440,380.4736842105263,7229,7229,0.013580083847045898,380.4736842105263,0.0,0.04445195198059082,0.0,0.0,380.4736842105263,16382,0,452.5846670916135,0.013580083847045898,452.5846670916135,204832.8808864266,0,427.42779908283944,normal
139,353,139,695,695,0.00014495849609375,139,0.0,0.00023317337036132812,0.0,0.0,139,20,0,108.53018013437553,0.00014495849609375,108.53018013437553,11778.8,0,21443.271983640083,normal
594.8333333333334,1440,594.8333333333334,7138,7138,0.015857219696044922,594.8333333333334,0.0,0.03244185447692871,0.0,0.0,594.8333333333334,2060,0,647.0669508550787,0.015857219696044922,647.0669508550787,418695.6388888889,0,369.89254139383115,normal
